,影片名,评论内容,评论人,推荐星数,有用数
17,机器之血,"这篇影评可能有剧透

                        给满分我承认是有爱豆感情因素的，但是不就是这样嘛，为了喜欢的人，去看他演的电影。但是说句公道话，我觉得给满分也值得。 首先开始那场枪战拍了25天不说，场面真的十分刺激，吓得我直哆嗦…那些爆炸枪战的真实度和刺激度真的震撼到我了，作为国产科幻大片，我觉得能做到这个...

                        ?(展开)",晗晗晗颖耶,力荐,26
18,机器之血,"这篇影评可能有剧透

                        机器之血，电影名字就跟小制作的网络大电影的名字一样，毫无吸引力。如果不是成龙这个吸金点那么，光听名字之就会有一大半的观影人散场。 机器之血的剧情就是看了3分钟开头就会知道结局。一点悬念，新意都没有。垃圾时间太多太多。而且成龙的功夫在影片当中并没有像每部电影那...

                        ?(展开)",一碗豆腐脑,较差,15
19,机器之血,"每次看到撞车戏我都不禁想它们都没有安全气囊还是形同虚设的啊？方便剧情讲述也不能这样漏洞满满啊。 悉尼歌剧院打斗的段落总让我想到《我是谁》，那时候的成龙是真的能打，而且好笑，但这一部他基本已不能边打边让人笑了。 罗志祥的口音让我出戏，想起当年《TV三贱客》，如今...

                        ?(展开)",游侠一笑,很差,5
20,机器之血,"剧情上的BUG满天飞  演员的演技让人尴尬的想笑 那么大颗心脏怎么就安在一个7、8岁的小女孩身上了？尼玛怎么就突然出现宇宙战舰了？算命的巫女偷记忆卖钱？军火商的儿子杀人越货偷取威胁世界和平的禁止科技竟成了正派？什么三观。。纵观导演的作品有超过5.2分的吗？真是shi一样...

                        ?(展开)",红薯,很差,3
21,机器之血,"这篇影评可能有剧透

                        你说是科幻动作，那个女巫为啥可以看到欧阳娜娜的梦境（女巫是把欧阳娜娜催眠，期间欧阳娜娜一直在做梦，但是女巫可以知道梦境内容然后卖给作家），还有那个催眠大师，我的天哪，你来晚了，我的使命完成了（神不神鬼不鬼的，什么玩意），而且切不说为啥记忆是在血液里，为啥欧...

                        ?(展开)",划船不靠浆,很差,7
22,机器之血,"这篇影评可能有剧透

                        作为一个穷人家的孩子，长这么大只看过一场话剧，一场小型演唱会，一场演奏会。 前面的两场都是赠票，不看白不看，要是自己掏腰包，是万万舍不得的；只有这最后的一场，狠心大出血，实打实的花了小1000，去看…… 欧阳娜娜拉大提琴。 彼时欧阳娜娜刚上音乐学院，只演过一部《北...

                        ?(展开)",王小民的吐槽,较差,
23,机器之血,"成龙电影中的人物已经越来越接近他的真实年龄了，苍白的头发，黯淡的眼神，不变的只有依然是那个能打的成龙，只不过与20年前相比，身手不再矫健，花活也少了很多！ 与之前众多的成龙电影类似，无论是剧情、还是表演，都没有什么突破之处，还是那个惩恶扬善，也还是之前警察形象...

                        ?(展开)",知行合一方可行,还行,
24,机器之血,"成龙大哥的电影无脑满分好评，毕竟他的电影看一部少一部了！不得不感叹成龙大哥真的是宝刀未老，打戏动作流畅自然，一点不含糊！值得回看！不过本片最令人惊喜的还是罗志祥的出场，每次出场都自带笑点，为这个严肃的科幻片增加了几分喜剧效果！角色很丰满！印象中这是第一次看...

                        ?(展开)",上邪,力荐,
25,机器之血,"成龙大哥的电影无脑满分好评，毕竟他的电影看一部少一部了！不得不感叹成龙大哥真的是宝刀未老，打戏动作流畅自然，一点不含糊！值得回看！不过本片最令人惊喜的还是罗志祥的出场，每次出场都自带笑点，为这个严肃的科幻片增加了几分喜剧效果！角色很丰满！印象中这是第一次看...

                        ?(展开)",上邪,力荐,
26,机器之血,"这篇影评可能有剧透

                        来个剧情总结，成龙扮演的老警察因为执行任务错过女儿最后一面，和大boss直接对上，开挂，复活，女儿和他都是生化人了，遇到罗志祥，应该是电脑天才的人设吧，再次扛上大boss，努力几把之后，灭了boss，大团圆结局。 首先得说，这个题材在西方不少见，黑点还好，你可以说不新，...

                        ?(展开)",cc,还行,
