,影片名,评论内容,评论人,推荐星数,有用数
17,当幸福来敲门,"电影《当幸福来敲门》中，一个从生活极其失败到逐步取得成功股票经纪人，他原本是一名靠推销医疗设备来维持生计的推销员，妻子不堪生活的压力离开了他，后来他选择了股票经纪人这个行业。一次在篮球场上，陪儿子打篮球的时候，他对儿子说“当别人不行的时候，他们也会告诉你，...

                        ?(展开)",黑洞啊,力荐,39
18,当幸福来敲门,"奔跑，不停地奔跑。它是我在片中看到克里斯的主要一面。克里斯为了上那最后一班公交车奔跑，为了赶下一个商务会奔跑，为了这一个夜晚的宿身之所必须赶在其他人前面排队入入收容所。 而我们呢?同样也在奔跑，为了生活为了幸福奔跑着。只是我们奔跑的方式不同，但本质是一样的。 ...

                        ?(展开)",Betsy_,力荐,39
19,当幸福来敲门,"电影讲述的是一位推销员的故事，一个渴望为家庭带来幸福而努力工作的人，他爱他的妻子和可爱的儿子。他会因为幼儿园门外“happiness”拼写的错误而担忧，因为写有“fuck”而生气。仅仅因为他怕这些东西会误导了他年幼的儿子。但生意上的失败带来了生活的窘困，爱他的妻子因为无...

                        ?(展开)",爱电影,推荐,36
20,当幸福来敲门,"贫穷和失败，是试炼人生的重担。男主因为一个错误的投资，每天都在尝试卖出没什么人想买的仪器，老婆要负担整个家庭，每天上双份的班，终于决定离开他。其实能理解他老婆的决定，一次次的失望和生活的重担，真是贫贱夫妻百事哀。而男主也没有尝试挽回她，只能说感情早就磨没了...

                        ?(展开)",爬山虎,推荐,46
21,当幸福来敲门,"中文译名翻的不好，当幸福来敲门？这个名字听起来不错，挺温暖，可是，就像没有圣诞老人会从烟囱里跳下来往你的袜子内放金子一样，没有哪位幸福先生，会千里迢迢赶到你落魄的门前。 只有你去追它，像片中Chris那样一刻也不放弃一个也不能放弃的不停的跑、跑、跑。  片子不短，...

                        ?(展开)",mosh,力荐,84
22,当幸福来敲门,"“你要尽全力保护你的梦想。那些嘲笑你梦想的人，因为他们必定会失败，他们想把你变成和他们一样的人。我坚信，只要我心中有梦想，我就会与众不同，你也是。” 没有一颗心，会因为追求梦想而受伤害。 You got a dream, you gotta protect it. 如果你有梦想的话，就要去捍卫它。...

                        ?(展开)",长安,推荐,32
23,当幸福来敲门,"在朋友的推荐下看了这部电影，我竟然没有多大的感触，也许我太邪恶了。 主人公天生就很聪明，可以说是鹤立群鸡，只是他不懂的利用自己的智慧。主人公在别人脸上总是看到微笑，而自己总是为各种事情愁眉苦脸。 据说这部电影改编自自传，也许是作者（主人公）本人的心态有问题才...

                        ?(展开)",neo,还行,110
24,当幸福来敲门,"这是威尔.史密斯和他儿子一起演的一部电影，黑人明星我只喜欢他，觉得他非常帅。电影讲述了威尔饰演的克里斯为了让家人的生活好一点，把所有积蓄都用来买高科技治疗仪，但是买的人比较少，生活也陷入了困境，我觉得他的妻子这个时候离开了他们父子俩真的不应该，应该共同面对困...

                        ?(展开)",一笑倾城,力荐,31
25,当幸福来敲门,"高中的时候，做过一套社会认知程度的心理测试。一问：如果一个人身体上有疾病，那他会不会觉得快乐？我选会。结果这是整套题里唯一和正确答案完全背离的选择。混迹社会几年，自然再不会这样的理想化，所以如果你问我：一个人没有钱，那他会不会觉得快乐？我想说——会，但是我...

                        ?(展开)",[已注销],推荐,70
26,当幸福来敲门,"可爱的儿子斯考特托夫在流落街头时给他父亲讲过一个笑话：一个人落水了，一艘路过的船要搭救他，他拒绝了，说上帝会来救他。不久，又一艘船路过，并且要救他，再次被落水者拒绝了，他坚信上帝会来救他…最后，落水者死了。他来到天堂后指责上帝为什么不来救他。上帝说：“我派...

                        ?(展开)",万人非你,推荐,40
